	of	documents
a	non	emergency
a	noncriminal	act
a	nonemergency	crime
a	nonfiction	extension
a	nonprofit	called
a	nonprofit	co
a	nonprofit	helping
a	nonprofit	organization
a	nonprofit	that
a	normal	inmate
a	northern	california
a	norwalk	man
a	note	according
a	note	demanding
a	note	the
a	notice	gets
a	notice	of
a	noticeable	void
a	notorious	cult
a	notorious	los
a	now	familiar
a	number	listed
a	number	of
a	nurse	from
a	nursing	assistant
a	nursing	facility
a	nursing	home
a	nyc	byline
a	officers	union
a	one	year
a	pace	byline
a	pacific	palisades
a	package	of
a	package	that
a	packed	house
a	pair	of
a	palm	desert
a	palmdale	resident
a	panel	of
a	paramedic	who
a	parent	to
a	park	in
a	park	was
a	parked	car
a	parked	vehicle
a	parking	attendant
a	parking	garage
a	parking	stop
a	part	in
a	part	of
a	partial	collapse
a	particular	belief
a	particular	city
a	particular	municipal
a	particular	religious
a	particularly	brutal
a	partner	at
a	partner	the
a	partnership	with
a	party	at
a	party	by
a	party	in
a	party	niland
a	pasadena	chicken
a	pasadena	doughnut
a	pasadena	man
a	pasadena	mansion
a	pasadena	resident
a	passenger	later
a	passion	to
a	pastry	chef
a	pat	down
a	path	to
a	patrol	officer
a	pattern	of
a	pay	phone
a	peaceful	and
a	peak	of
a	pedestrian	passes
a	pediatrician	with
a	peer	to
a	pellet	gun
a	penal	code
a	percent	blood
a	percent	drop
a	percent	increase
a	percent	leap
a	percent	reduction
a	percent	rise
a	percent	surge
a	percent	to
a	percent	uptick
a	perfect	indicator
a	perfect	world
a	perimeter	rubenstein
a	period	during
a	permitting	program
a	perpetrator	in
a	persistent	snowpack
a	person	at
a	person	in
a	person	of
a	person	or
a	person	present
a	person	prosecuted
a	person	s
a	person	sitting
a	person	who
a	person	with
a	personal	ax
a	personal	dispute
a	personal	firearm
a	pet	collie
a	pet	door
a	petition	for
a	pg	length
a	phone	but
a	phone	call
a	phone	charger
a	phone	interview
a	phone	tip
a	photo	byline
a	photo	of
a	photo	released
a	photo	showing
a	photograph	of
a	photograph	she
a	photographer	bull
a	photographer	law
a	physical	fight
a	physics	teacher
a	piece	of
a	pig	victim
a	pillowcase	was
a	pilot	lead
a	pipe	bomb
a	pitch	gunfight
a	place	of
a	place	where
a	plan	to
a	plane	at
a	plane	leaving
a	playpen	cao
a	plea	agreement
a	plea	april
a	plea	deal
a	plea	department
a	plea	looking
a	point	in
a	point	to
a	police	are
a	police	chief
a	police	documented
a	police	investigating
a	police	officer
a	police	presence
a	police	scanner
a	police	search
a	policeman	she
a	policy	generally
a	policy	of
a	policy	on
a	policy	shift
a	policy	that
a	political	analyst
a	political	arm
a	pomona	jury
a	popular	alt
a	popular	berkeley
a	popular	mayor
a	popular	restaurant
a	population	that
a	porch	fraudulent
a	porch	theft
a	porsche	panamera
a	portion	of
a	portrait	in
a	position	of
a	positive	after
a	positive	change
a	positive	first
a	positive	word
a	possible	hate
a	possible	maximum
a	possible	suspect
a	possible	turnaround
a	post	office
a	poster	boy
a	pot	dispensary
a	potential	disciplinary
a	potential	hate
a	potential	life
a	potential	penalty
a	potential	sentence
a	pound	cocaine
a	power	struggle
a	powerful	advocate
a	powerful	dramatic
a	powerful	example
a	prankster	had
a	pratt	whitney
a	pre	choreographed
a	pre	recorded
a	precaution	according
a	precursor	to
a	predictive	policing
a	predominantly	spanish
a	preface	of
a	preliminary	hearing
a	presidential	goofball
a	presidential	run
a	press	briefing
a	press	conference
a	pretext	for
a	pretty	big
a	pretty	deep
a	pretty	significant
a	previous	conviction
a	previous	court
a	previous	crime
a	previous	firearms
a	previous	lawsuit
a	previously	convicted
a	priest	a
a	priest	and
a	priest	minister
a	primary	hub
a	prime	spot
a	prior	arrest
a	prior	history
a	prior	racketeering
a	priority	for
a	prison	term
a	private	jet
a	private	person
a	privilege	to
a	prize	winning
a	pro	bono
a	pro	diversity
a	pro	football
a	pro	trump
a	probable	cause
a	probation	officer
a	probation	violation
a	probationer	with
a	probe	by
a	problem	agencies
a	problem	beyond
a	problem	but
a	problem	for
a	problem	it
a	problem	right
a	problem	with
a	process	known
a	process	that
a	producer	for
a	product	of
a	profanity	in
a	profanity	on
a	professor	of
a	profound	misunderstanding
a	program	designed
a	program	known
a	program	organized
a	program	that
a	program	would
a	program	you
a	prolific	member
a	prominent	hollywood
a	promise	to
a	promotion	still
a	promotion	to
a	propensity	for
a	proposal	drafted
a	proposal	intended
a	proposal	last
a	proposal	this
a	proposed	bill
a	prosecution	if
a	prosecution	in
a	prosecution	said
a	prosecutor	can
a	prosthetic	leg
a	prostitute	at
a	prostitute	deputy
a	prostitute	online
a	protected	location
a	protege	of
a	protest	for
a	provision	that
a	psychologist	at
a	psychologist	who
a	public	health
a	public	nuisance
a	public	official
a	public	plea
a	public	proceeding
a	public	safety
a	publicist	for
a	pump	if
a	purse	as
a	purse	forgotten
a	purse	from
a	purse	the
a	purse	was
a	purse	were
a	push	for
a	push	to
a	quantity	of
a	quarter	century
a	quarter	mile
a	quarter	of
a	quarterly	meeting
a	quick	chant
a	quicker	hearing
a	quicker	proceeding
a	quiet	little
a	race	war
a	racial	slur
a	racist	and
a	rack	theft
a	racketeering	indictment
a	rag	sticking
a	raid	early
a	raidat	a
a	railroad	underpass
a	rally	calling
a	rally	nov
a	ramos	and
a	ramp	leading
a	rampant	epidemic
a	rampant	problem
a	random	man
a	range	of
a	ransom	in
a	ransom	note
a	rape	allegation
a	rapid	rise
a	rare	example
a	rash	of
a	rate	of
a	rate	that
a	ravine	in
a	re	election
a	real	estate
a	real	issue
a	reality	check
a	reality	tv
a	really	heartbreaking
a	really	nice
a	really	uneven
a	rear	door
a	rear	yard
a	reason	for
a	reason	to
a	reasonable	doubt
a	rebirth	and
a	recent	address
a	recent	community
a	recent	decision
a	recent	interview
a	recent	phone
a	recent	report
a	recent	robbery
a	recent	settlement
a	recent	spate
a	recent	uptick
a	recent	wave
a	recently	approved
a	reckless	trump
a	recommendation	from
a	record	homicides
a	record	million
a	record	of
a	recording	device
a	records	clerk
a	reduction	the
a	reexamination	of
a	referendum	on
a	refugee	crisis
a	refund	of
a	region	without
a	regional	anti
a	regional	crime
a	registered	nurse
a	registered	sex
a	regular	basis
a	regulated	system
a	rehab	centre
a	relative	before
a	relative	of
a	relatively	easy
a	relatively	recent
a	relatively	small
a	relatively	steady
a	relentless	focus
a	remains	far
a	remarkably	pervasive
a	reminder	of
a	reminder	that
a	remote	location
a	removal	order
a	rendezvous	point
a	replay	of
a	report	authored
a	report	done
a	report	from
a	report	of
a	report	on
a	report	presented
a	report	released
a	report	she
a	report	that
a	report	this
a	report	with
a	reporter	but
a	representative	for
a	representative	of
a	republican	have
a	reputation	for
a	reputed	east
a	reputed	gang
a	request	to
a	rescue	device
a	reseda	native
a	residence	listed
a	residence	via
a	resident	after
a	resident	called
a	resident	inside
a	resident	is
a	resident	no
a	resident	noticed
a	resident	notified
a	resident	of
a	resident	opened
a	resident	who
a	residential	area
a	residential	neighborhood
a	response	from
a	response	to
a	responsible	budget
a	restaurant	and
a	restaurant	at
a	restaurant	chain
a	restaurant	in
a	restaurant	last
a	restaurant	photographer
a	restitution	hearing
a	restraining	order
a	result	i
a	result	of
a	result	the
a	result	they
a	retired	livermore
a	retreat	that
a	retrial	the
a	return	to
a	review	of
a	review	tuesday
a	revolving	door
a	reward	on
a	reward	reward
a	reward	to
a	reward	was
a	ride	through
a	ride	to
a	rifle	and
a	rifle	or
a	right	to
a	rigorous	minute
a	riot	and
a	rise	in
a	rising	crime
a	rising	star
a	rival	gang
a	rivalry	with
a	riverside	county
a	robbery	after
a	robbery	and
a	robbery	at
a	robbery	that
a	robbery	the
a	robust	system
a	robust	unit
a	role	model
a	role	she
a	romantic	rendezvous
a	room	fbi
a	room	that
a	roundtable	discussion
a	routine	traffic
a	row	across
a	row	of
a	rowland	heights
a	rule	meant
a	ruling	by
a	runoff	would
a	ruptured	eardrum
a	s	employment
a	s	first
a	s	highest
a	s	illegal
a	s	office
a	s	streets
a	s	top
a	sacramento	criminal
a	safe	and
a	safe	community
a	safe	haven
a	safe	inside
a	safe	learning
a	safe	out
a	safe	was
a	safer	donald
a	safer	reversing
a	safer	were
a	safety	net
a	said	she
a	saks	fifth
a	salary	after
a	sample	of
a	sampling	of
a	san	bernardino
a	san	fernando
a	san	francisco
a	san	gabriel
a	san	jose
a	san	marino
a	san	pedro
a	sanctuary	city
a	sanctuary	compromise
a	sanctuary	state
a	santa	monica
a	saw	a
a	scale	glendora
a	scam	i
a	scar	on
a	scene	as
a	scene	caught
a	scene	cohen
a	scene	where
a	scheduled	custody
a	scheduled	press
a	scheme	in
a	scheme	using
a	school	board
a	school	bus
a	school	district
a	schools	gets
a	screen	attempted
a	screen	was
a	screwdriver	near
a	scrimmage	line
a	search	of
a	search	warrant
a	searing	and
a	season	that
a	seattle	girl
a	second	at
a	second	hand
a	second	juvenile
a	second	party
a	second	post
a	second	suspect
a	second	teenage
a	second	term
a	second	woman
a	secret	tank
a	section	of
a	security	checkpoint
a	security	guard
a	seeks	sanctuary
a	self	serving
a	self	sufficient
a	semi	automatic
a	senior	research
a	senior	staff
a	sense	of
a	sentence	of
a	separate	case
a	separate	investigation
a	separate	u
a	sergeant	providing
a	serial	bank
a	serial	killer
a	serial	sexual
a	series	of
a	serious	crime
a	serious	matter
a	serious	medical
a	serious	sex
a	service	ceiling
a	settlement	with
a	setup	cao
a	seven	year
a	sex	act
a	sex	crime
a	sex	crimes
a	sex	offender
a	sexual	assault
a	sexual	relationship
a	sexual	toy
a	shaky	showing
a	shallow	desert
a	shallow	grave
a	sharp	decrease
a	sharp	increase
a	shed	no
a	shell	casing
a	shell	is
a	shelter	without
a	sheriff	s
a	sheriff	support
a	sherman	a
a	sherman	commanding
a	sherman	current
a	sherman	full
a	sherwood	prize
a	shipment	with
a	shoot	day
a	shooting	at
a	shooting	in
a	shooting	incident
a	shooting	that
a	shootout	and
a	shootout	in
a	shootout	with
a	shoplifter	who
a	shopping	cart
a	shopping	plaza
a	short	distance
a	short	man
a	short	statement
a	short	story
a	short	time
a	shot	caller
a	shot	returned
a	shotgun	an
a	shotgun	and
a	shoulder	by
a	show	and
a	show	they
a	side	or
a	side	window
a	side	yard
a	sidewalk	geovanni
a	sidewalk	the
a	sigalert	at
a	sign	of
a	sign	posted
a	sign	that
a	sign	to
a	significant	amount
a	significant	decrease
a	significant	difference
a	significant	effect
a	significant	impact
a	significant	increase
a	significant	number
a	significant	portion
a	significant	spike
a	significant	step
a	sikh	temple
a	silver	lining
a	silver	medal
a	silver	medalin
a	similar	distance
a	similar	diversion
a	similar	effect
a	similar	email
a	similar	one
a	similar	protocol
a	similar	step
a	similar	trend
a	simple	assault
a	simple	premise
a	single	case
a	single	charge
a	single	day
a	single	ring
a	single	secret
a	single	summer
a	situation	when
a	situation	where
a	six	week
a	sizable	amount
a	sizeable	proportion
a	skateboard	and
a	skull	fracture
a	skull	was
a	slap	in
a	sleeping	man
a	sleepy	quiet
a	sliding	door
a	sliding	glass
a	slight	jump
a	slope	tuesday
a	small	amount
a	small	crew
a	small	fire
a	small	fraction
a	small	impact
a	small	number
a	small	part
a	small	percentage
a	small	plane
a	small	rise
a	small	team
a	small	town
a	snapchat	geotag
a	so	called
a	so	many
a	sobering	tally
a	sobriety	and
a	social	media
a	social	worker
a	society	and
a	soft	on
a	solo	crash
a	solution	for
a	somber	ceremony
a	somber	soliloquy
a	sonogram	and
a	sort	of
a	sounding	board
a	source	at
a	source	of
a	south	el
a	south	los
a	south	pasadena
a	southern	california
a	southwest	airlines
a	space	to
a	spare	bedroom
a	spare	loaded
a	spate	of
a	speaker	at
a	special	agent
a	special	allegation
a	special	gang
a	special	interest
a	special	status
a	special	task
a	special	unit
a	specific	career
a	specific	crime
a	specific	provision
a	speech	to
a	speed	that
a	spike	from
a	spike	in
a	spikes	as
a	spillway	when
a	spokesman	for
a	spokeswoman	for
a	spokeswoman	with
a	spontaneous	fight
a	sporting	goods
a	sprained	ankle
a	sprawling	city
a	sprawling	los
a	spray	painted
a	spurt	of
a	st	century
a	stabbing	during
a	staff	member
a	staff	report
a	staggering	percent
a	staggering	these
a	star	is
a	star	wide
a	starter	home
a	stash	house
a	state	assembly
a	state	law
a	state	of
a	state	proposition
a	statement	according
a	statement	all
a	statement	blair
a	statement	but
a	statement	called
a	statement	chief
a	statement	condemning
a	statement	declaring
a	statement	department
a	statement	dismissing
a	statement	emergency
a	statement	from
a	statement	full
a	statement	he
a	statement	i
a	statement	if
a	statement	in
a	statement	issued
a	statement	it
a	statement	lapd
a	statement	my
a	statement	not
a	statement	now
a	statement	oakland
a	statement	of
a	statement	on
a	statement	police
a	statement	posted
a	statement	referencing
a	statement	shared
a	statement	that
a	statement	the
a	statement	their
a	statement	there
a	statement	this
a	statement	through
a	statement	to
a	statement	we
a	statement	whether
a	statement	with
a	statewide	coalition
a	station	thursday
a	statue	of
a	statutory	maximum
a	staunch	supporter
a	steady	decline
a	steak	knife
a	steel	mesh
a	steep	ravine
a	steep	rise
a	steeper	increase
a	steering	wheel
a	sticking	point
a	stolen	car
a	stolen	police
a	stolen	truck
a	stolen	vehicle
a	stop	based
a	stop	near
a	stop	the
a	storage	container
a	storage	facility
a	storage	lock
a	storage	shed
a	store	employee
a	store	while
a	storefront	along
a	storefront	near
a	story	about
a	story	how
a	story	no
a	story	of
a	story	that
a	stove	and
a	straight	razor
a	strange	twist
a	stranglehold	on
a	stream	of
a	street	gang
a	street	in
a	street	minded
a	street	value
a	street	vending
a	street	vendor
a	streetwise	teenager
a	stretch	to
a	stretcher	being
a	stretcher	she
a	string	of
a	strip	mall
a	strip	of
a	striped	shirt
a	strong	and
a	strong	case
a	strong	choice
a	strong	correlation
a	strong	sense
a	strong	urban
a	stronger	economy
a	stronghold	of
a	structure	for
a	struggle	nakamura
a	struggle	police
a	struggle	with
a	student	at
a	student	for
a	student	officials
a	student	with
a	study	conducted
a	study	of
a	study	released
a	stunning	amount
a	stunning	memoir
a	suave	leading
a	subcommittee	of
a	subsequent	check
a	subsequent	interview
a	substance	abuse
a	substance	later
a	substantial	factor
a	substantially	safer
a	suburb	of
a	successful	studio
a	sues	over
a	suggestion	that
a	suicide	note
a	summer	that
a	summit	of
a	sun	valley
a	sunday	morning
a	supermarket	and
a	supervillain	outfit
a	supervisor	that
a	surge	in
a	surge	that
a	surprise	appearance
a	survey	by
a	survey	showing
a	survivor	of
a	suspect	across
a	suspect	has
a	suspect	in
a	suspect	james
a	suspect	s
a	suspect	who
a	suspected	gang
a	suspected	hate
a	suspected	street
a	suspended	license
a	suspended	or
a	suspicious	gray
a	suspicious	vehicle
a	sustained	effort
a	swarm	of
a	swastika	etched
a	swastika	on
a	swat	officer
a	swat	team
a	sweeping	anti
a	sweeping	indictment
a	swim	coach
a	sword	deputy
a	sword	in
a	sword	ricardo
a	sworn	deputy
a	symbol	of
a	system	of
a	system	that
a	system	they
a	system	to
a	table	theft
a	tablet	laptop
a	tablet	sunglasses
a	tablet	were
a	tailgate	was
a	takeover	robbery
a	tan	toyota
a	tangible	difference
a	target	and
a	target	of
a	targeted	inquiry
a	task	force
a	taskforce	of
a	taskforce	to
a	tax	exempt
a	teacher	and
a	teacher	at
a	teacher	who
a	team	from
a	team	king
a	teen	court
a	teen	girl
a	teen	he
a	teen	was
a	teen	who
a	teenage	boy
a	teenage	cadet
a	teenage	getaway
a	teenage	girl
a	teenage	monterey
a	teenager	and
a	teenager	who
a	televised	statement
a	television	and
a	television	reporter
a	television	show
a	temple	city
a	tennessee	rapper
a	term	used
a	terrified	female
a	terrorism	expert
a	terrorist	organization
a	texas	mosque
a	texas	woman
a	text	message
a	the	financial
a	the	numbers
a	the	one
a	the	year
a	theft	arrest
a	then	year
a	thick	spanish
a	thin	blue
a	thin	build
a	third	consecutive
a	third	floor
a	third	juvenile
a	third	of
a	third	party
a	third	straight
a	third	suspect
a	third	woman
a	this	is
a	thorough	investigation
a	thorough	review
a	those	errors
a	those	who
a	threat	against
a	threat	penrod
a	threat	to
a	threatening	manner
a	threatening	obscenity
a	three	games
a	three	justice
a	three	story
a	three	striker
a	three	year
a	threesome	cohen
a	throng	watched
a	thursday	arraignment
a	thursday	press
a	tide	of
a	tillmann	and
a	time	and
a	time	crunch
a	time	inserting
a	time	of
a	time	that
a	time	when
a	time	will
a	timeline	and
a	timeline	this
a	times	investigation
a	times	photo
a	tip	about
a	tip	on
a	tip	to
a	to	crisscross
a	to	hour
a	to	kill
a	to	point
a	to	testify
a	to	the
a	tool	for
a	tool	to
a	top	to
a	topic	normally
a	torch	lit
a	torrance	man
a	total	of
a	tough	case
a	tough	guy
a	tour	of
a	town	hall
a	town	of
a	townhouse	on
a	toy	gun
a	trace	blue
a	trace	game
a	trace	without
a	track	down
a	track	standout
a	trade	association
a	trade	in
a	tradesman	and
a	traffic	accident
a	traffic	collision
a	traffic	control
a	traffic	stop
a	traffic	violation
a	tragedy	and
a	tragic	fight
a	tragic	twist
a	transgender	attorney
a	transgender	woman
a	transition	road
a	transnational	criminal
a	transportation	tax
a	traveler	s
a	trend	from
a	trend	the
a	triage	strategy
a	trial	for
a	trial	hearnsberger
a	trial	on
a	trial	team
a	trial	witness
a	tricky	legal
a	trigger	in
a	trip	it
a	triumphant	read
a	trove	of
a	truck	carrying
a	truck	is
a	truck	kelly
a	truck	outfitted
a	truck	parked
a	truck	to
a	truck	with
a	true	story
a	trump	supporter
a	trust	controlled
a	tryst	at
a	tumultuous	divorce
a	turning	point
a	tutoring	website
a	tv	reporter
a	twilight	zone
a	two	alarm
a	two	hour
a	two	year
a	typical	politician
a	u	s
a	uc	irvine
a	unanimous	supreme
a	undercounting	of
a	unified	general
a	uniform	approach
a	uniformed	approach
a	union	bank
a	unique	product
a	university	spokeswoman
a	ups	shipment
a	utility	closet
a	vacuum	and
a	valid	driver
a	valid	license
a	valley	hub
a	valley	mother
a	valuable	resource
a	value	in
a	van	and
a	van	by
a	van	in
a	van	nuys
a	vandalism	call
a	variety	of
a	vast	vertical
a	vehicle	a
a	vehicle	accident
a	vehicle	according
a	vehicle	checkbooks
a	vehicle	commercial
a	vehicle	in
a	vehicle	police
a	vehicle	stolen
a	vehicle	theft
a	vehicle	used
a	vehicle	vehicle
a	vehicle	without
a	verbal	attack
a	verizon	wireless
a	very	big
a	very	different
a	very	difficult
a	very	distinct
a	very	kind
a	very	troubled
a	vested	interest
a	vice	president
a	vicious	assault
a	victim	but
a	victim	i
a	victim	of
a	victim	or
a	victim	to
a	victimless	crime
