    627 supra	note
      8 a	time
      8 a	society
      8 a	muslim
      8 a	lot
      8 a	gun
      8 a	case
      8 a	call
      8 a	brief
      8 a	big
      7 zero	tolerance
      7 youthful	offender
      7 young	man
      7 york	and
      7 y	gen
      7 www	mpac
      7 www	justice
      7 work	in
      7 with	regard
      7 with	american
      7 will	help
      7 will	also
      7 were	not
      7 ways	that
      7 watch	list
      7 was	involved
      7 vast	majority
      7 us	cjis
      7 understand	the
      7 tracey	l
      7 to	this
      7 to	third
      7 to	suggest
      7 to	specific
      7 to	share
      7 to	recognize
      7 to	policing
      7 to	occur
      7 to	more
      7 to	hold
      7 to	guide
      7 to	arrest
      7 times	july
      7 times	feb
      7 times	aug
      7 time	that
      7 time	n
      7 through	which
      7 this	way
      7 theory	of
      7 the	university
      7 the	threats
      7 the	theories
      7 the	suspects
      7 the	specific
      7 the	search
      7 the	regulation
      7 the	purpose
      7 the	private
      7 the	privacy
      7 the	president
      7 the	point
      7 the	one
      7 the	offender
      7 the	nsa
      7 the	nature
      7 the	mayor
      7 the	literature
      7 the	legal
      7 the	late
      7 the	judiciary
      7 the	harms
      7 the	h
      7 the	form
      7 the	facts
      7 the	existence
      7 the	entire
      7 the	el
      7 the	delinquency
      7 the	constitutional
      7 the	child
      7 the	chicago
      7 the	british
      7 the	authorities
      7 the	accuracy
      7 that	will
      7 that	might
      7 that	different
      7 that	crime
      7 that	could
      7 that	children
      7 that	all
      7 tends	to
      7 technology	is
      7 systems	n
      7 suspects	and
      7 suspected	gang
      7 suspect	was
      7 susceptible	to
      7 stops	and
      7 stop	n
      7 stop	in
      7 stop	based
      7 steinberg	supra
      7 states	to
      7 states	have
      7 stat	ann
      7 standard	of
      7 st	paul
      7 specific	crime
      7 sources	of
      7 source	of
      7 sought	to
      7 some	form
      7 solely	on
      7 software	that
      7 series	of
      7 sentences	for
      7 seems	to
      7 seeks	to
      7 seek	to
      7 see	u
      7 see	terry
      7 search	of
      7 scott	steinberg
      7 said	we
      7 said	the
      7 s	police
      7 s	license
      7 s	department
      7 s	a
      7 resources	to
      7 reserved	of
      7 religious	practice
      7 relationships	between
      7 referred	to
      7 recognition	technology
      7 recent	years
      7 reasonable	expectation
      7 realm	of
      7 put	it
      7 push	for
      7 purposes	of
      7 purpose	of
      7 pub	pol
      7 protected	space
      7 protected	by
      7 program	to
      7 private	sector
      7 private	companies
      7 price	supra
      7 presence	of
      7 potential	for
      7 post	july
      7 policing	may
      7 policing	efforts
      7 policing	community
      7 police	will
      7 police	could
      7 police	community
      7 point	of
      7 point	in
      7 place	in
      7 pittman	parker
      7 person	has
      7 period	of
      7 party	doctrine
      7 participation	in
      7 parker	supra
      7 oriented	policing
      7 org	sites
      7 or	more
      7 opportunities	for
      7 ongoing	criminal
      7 on	predictive
      7 on	juveniles
      7 on	juvenile
      7 on	crime
      7 on	civil
      7 officers	on
      7 officer	may
      7 offenders	and
      7 of	u
      7 of	traditional
      7 of	that
      7 of	state
      7 of	school
      7 of	religious
      7 of	high
      7 of	fear
      7 of	drug
      7 of	dna
      7 of	crimes
      7 of	control
      7 of	communication
      7 of	black
      7 of	any
      7 oct	http
      7 not	yet
      7 not	know
      7 noncriminal	justice
      7 neighborhoods	and
      7 n	with
      7 n	when
      7 n	scott
      7 n	at
      7 n	all
      7 muslims	the
      7 mpac	org
      7 meets	with
      7 mapping	supra
      7 make	it
      7 make	a
      7 looking	for
      7 locations	of
      7 linked	to
      7 limitations	of
      7 likelihood	that
      7 life	in
      7 length	of
      7 leaders	in
      7 l	soc
      7 l	criminology
      7 knowledge	about
      7 know	that
      7 juvenile	law
      7 justice	policy
      7 justice	gov
      7 john	s
      7 jim	crow
      7 it	the
      7 it	might
      7 it	easier
      7 it	can
      7 it	as
      7 issued	a
      7 is	on
      7 is	already
      7 is	afoot
      7 is	about
      7 involving	a
      7 into	adulthood
      7 interactions	with
      7 inst	of
      7 information	will
      7 information	it
      7 information	from
      7 information	can
      7 informants	and
      7 individuals	to
      7 individual	is
      7 ind	l
      7 increase	in
      7 in	so
      7 in	response
      7 in	juvenile
      7 in	field
      7 in	determining
      7 in	all
      7 important	to
      7 i	want
      7 i	e
      7 how	does
      7 help	restore
      7 help	police
      7 heat	list
      7 he	is
      7 he	had
      7 have	found
      7 have	become
      7 has	no
      7 has	led
      7 government	to
      7 government	n
      7 gang	related
      7 gang	member
      7 g	united
      7 for	muslim
      7 for	any
      7 focuses	on
      7 ferguson	big
      7 fbi	field
      7 far	more
      7 face	recognition
      7 evidence	to
      7 evidence	that
      7 even	in
      7 errors	in
      7 eroded	fourth
      7 engagement	programs
      7 engagement	n
      7 enforcement	with
      7 enforcement	the
      7 enforcement	records
      7 emerging	technologies
      7 each	other
      7 don	t
      7 domestic	violence
      7 doj	and
      7 documents	the
      7 dna	samples
      7 dna	profiles
      7 dna	from
      7 disorder	and
      7 discussing	how
      7 different	from
      7 determine	whether
      7 describing	a
      7 delinquency	databasing
      7 decision	to
      7 deciding	whether
      7 dec	at
      7 databases	is
      7 database	and
      7 data	the
      7 data	points
      7 data	are
      7 d	b
      7 cve	programs
      7 criticism	of
      7 criminal	conviction
      7 crime	to
      7 crime	label
      7 crime	just
      7 courts	to
      7 course	of
      7 counter	violent
      7 council	on
      7 control	in
      7 contribute	to
      7 consistent	with
      7 cong	statement
      7 concerns	with
      7 concern	is
      7 conception	of
      7 community	based
      7 community	affairs
      7 communities	as
      7 committed	by
      7 committed	a
      7 comm	n
      7 com	articles
      7 chicago	s
      7 chi	l
      7 change	and
      7 cause	to
      7 can	provide
      7 can	lead
      7 by	broken
      7 but	see
      7 but	not
      7 boycott	of
      7 black	men
      7 biographies	of
      7 belief	that
      7 before	it
      7 been	a
      7 be	stopped
      7 be	required
      7 be	made
      7 be	considered
      7 based	policing
      7 aug	at
      7 att	y
      7 at	this
      7 at	b
      7 asked	to
      7 arun	kundnani
      7 areas	of
      7 area	label
      7 area	is
      7 area	and
      7 are	good
      7 are	at
      7 arab	and
      7 arab	american
      7 appears	to
      7 another	and
      7 and	state
      7 and	respond
      7 and	predictive
      7 and	practices
      7 and	perhaps
      7 and	on
      7 and	how
      7 and	data
      7 and	communities
      7 and	best
      7 and	articulable
      7 analysis	and
      7 an	example
      7 an	essential
      7 allows	for
      7 algorithms	to
      7 al	the
      7 aims	to
      7 address	the
      7 addition	to
      7 activity	and
      7 act	n
      7 about	youth
      7 a	terrorist
      7 a	series
      7 a	search
      7 a	harris
      7 a	good
      7 a	drug
      7 a	disproportionate
      7 a	d
      7 a	critical
      7 a	child
      7 a	certain
      7 a	central
      6 youth	justice
      6 youth	as
      6 you	can
      6 yet	to
      6 years	the
      6 years	n
      6 y	u
      6 www	whitehouse
      6 www	dhs
      6 wrongdoing	n
      6 would	have
      6 world	of
      6 work	to
      6 without	any
      6 with	whom
      6 with	marginalized
      6 with	big
      6 willingness	to
      6 who	has
      6 whitehouse	gov
      6 which	muslims
      6 whether	they
      6 where	they
      6 where	muslims
      6 where	and
      6 when	they
      6 went	to
      6 we	need
      6 ways	to
      6 warning	of
      6 volume	of
      6 viewed	as
      6 view	of
      6 video	chief
      6 v	new
      6 v	hensley
      6 under	surveillance
      6 two	factor
      6 trust	in
      6 trust	building
      6 transition	to
      6 tracking	of
      6 to	track
      6 to	these
      6 to	them
      6 to	terror
      6 to	store
      6 to	shut
      6 to	serve
      6 to	seek
      6 to	schools
      6 to	say
      6 to	record
      6 to	public
      6 to	prove
      6 to	present
      6 to	offer
      6 to	local
      6 to	live
      6 to	link
      6 to	juveniles
      6 to	information
      6 to	give
      6 to	fostering
      6 to	federal
      6 to	crime
      6 to	city
      6 times	dec
      6 time	the
      6 they	would
      6 there	was
      6 theories	and
      6 them	from
      6 their	future
      6 their	ability
      6 the	work
      6 the	wardlow
      6 the	urban
      6 the	terms
      6 the	study
      6 the	st
      6 the	result
      6 the	religious
      6 the	radicalization
      6 the	quality
      6 the	proper
      6 the	project
      6 the	post
      6 the	poor
      6 the	politics
      6 the	original
      6 the	only
      6 the	neighborhood
      6 the	negative
      6 the	name
      6 the	long
      6 the	length
      6 the	legitimacy
      6 the	larger
      6 the	intelligence
      6 the	house
      6 the	history
      6 the	dots
      6 the	content
      6 the	concept
      6 the	computer
      6 the	collection
      6 the	chief
      6 the	broader
      6 the	big
      6 the	balance
      6 the	algorithm
      6 the	administration
      6 that	youth
      6 that	such
      6 that	s
      6 that	reasonable
      6 that	people
      6 that	muslims
      6 that	has
      6 that	does
      6 that	courts
      6 that	cities
      6 that	big
      6 than	their
      6 terrorists	are
      6 terrorist	attacks
      6 term	high
      6 technology	in
      6 technologies	in
      6 take	place
      6 system	for
      6 suspicious	behavior
      6 suspicion	must
      6 suspicion	based
      6 suspicion	and
      6 suspects	n
      6 surveillance	in
      6 suppression	hearings
      6 suggests	that
      6 strategies	to
      6 strategic	implementation
      6 story	of
      6 stored	and
      6 stigma	and
      6 states	the
      6 states	that
      6 states	and
      6 stan	l
      6 st	john
      6 special	protections
      6 some	jurisdictions
      6 somali	community
      6 software	has
      6 software	and
      6 social	meaning
      6 so	that
      6 so	on
      6 so	how
      6 so	doing
      6 shut	down
      6 shut	cities
      6 showed	that
      6 shamas	arastu
      6 seriously	to
      6 separate	people
      6 see	david
      6 see	andrew
      6 searches	and
      6 search	queries
      6 schools	and
      6 school	officials
      6 scholars	have
      6 schmitt	supra
      6 says	the
      6 said	reynoso
      6 s	when
      6 s	trust
      6 s	response
      6 s	prior
      6 s	presence
      6 s	office
      6 s	l
      6 s	d
